measurement_id,event_time,order_id,item_cd,equipment_cd,machine_name,weight,std_weight,upper_limit,lower_limit,result_flag,weight_diff
MSR000000001,2026-05-11 18:00:00,ORD000001,ITEM005,EQ001,Filling Machine 1,347.93,350.0,368.0,338.0,OK,-2.07
MSR000000002,2026-05-11 18:00:14,ORD000001,ITEM005,EQ001,Filling Machine 1,355.02,350.0,368.0,338.0,OK,5.02
MSR000000003,2026-05-11 18:00:32,ORD000001,ITEM005,EQ001,Filling Machine 1,349.57,350.0,368.0,338.0,OK,-0.43
MSR000000004,2026-05-11 18:00:36,ORD000001,ITEM005,EQ001,Filling Machine 1,349.55,350.0,368.0,338.0,OK,-0.45
MSR000000005,2026-05-11 18:01:04,ORD000001,ITEM005,EQ001,Filling Machine 1,354.71,350.0,368.0,338.0,OK,4.71
MSR000000006,2026-05-11 18:01:15,ORD000001,ITEM005,EQ001,Filling Machine 1,357.65,350.0,368.0,338.0,OK,7.65
MSR000000007,2026-05-11 18:01:54,ORD000001,ITEM005,EQ001,Filling Machine 1,338.18,350.0,368.0,338.0,OK,-11.82
MSR000000008,2026-05-11 18:01:31,ORD000001,ITEM005,EQ001,Filling Machine 1,353.58,350.0,368.0,338.0,OK,3.58
MSR000000009,2026-05-11 18:01:12,ORD000001,ITEM005,EQ001,Filling Machine 1,349.79,350.0,368.0,338.0,OK,-0.21
MSR000000010,2026-05-11 18:02:15,ORD000001,ITEM005,EQ001,Filling Machine 1,357.08,350.0,368.0,338.0,OK,7.08
MSR000000011,2026-05-11 18:02:30,ORD000001,ITEM005,EQ001,Filling Machine 1,349.88,350.0,368.0,338.0,OK,-0.12
MSR000000012,2026-05-11 18:03:18,ORD000001,ITEM005,EQ001,Filling Machine 1,359.18,350.0,368.0,338.0,OK,9.18
MSR000000013,2026-05-11 18:01:36,ORD000001,ITEM005,EQ001,Filling Machine 1,347.3,350.0,368.0,338.0,OK,-2.7
MSR000000014,2026-05-11 18:02:49,ORD000001,ITEM005,EQ001,Filling Machine 1,337.97,350.0,368.0,338.0,UNDER,-12.03
MSR000000015,2026-05-11 18:02:34,ORD000001,ITEM005,EQ001,Filling Machine 1,357.65,350.0,368.0,338.0,OK,7.65
MSR000000016,2026-05-11 18:03:00,ORD000001,ITEM005,EQ001,Filling Machine 1,346.26,350.0,368.0,338.0,OK,-3.74
MSR000000017,2026-05-11 18:04:32,ORD000001,ITEM005,EQ001,Filling Machine 1,341.83,350.0,368.0,338.0,OK,-8.17
MSR000000018,2026-05-11 18:03:24,ORD000001,ITEM005,EQ001,Filling Machine 1,351.4,350.0,368.0,338.0,OK,1.4
MSR000000019,2026-05-11 18:04:48,ORD000001,ITEM005,EQ001,Filling Machine 1,349.86,350.0,368.0,338.0,OK,-0.14
MSR000000020,2026-05-11 18:02:51,ORD000001,ITEM005,EQ001,Filling Machine 1,356.22,350.0,368.0,338.0,OK,6.22
MSR000000021,2026-05-11 18:04:40,ORD000001,ITEM005,EQ001,Filling Machine 1,356.62,350.0,368.0,338.0,OK,6.62
MSR000000022,2026-05-11 18:07:00,ORD000001,ITEM005,EQ001,Filling Machine 1,351.83,350.0,368.0,338.0,OK,1.83
MSR000000023,2026-05-11 18:05:30,ORD000001,ITEM005,EQ001,Filling Machine 1,345.94,350.0,368.0,338.0,OK,-4.06
MSR000000024,2026-05-11 18:05:45,ORD000001,ITEM005,EQ001,Filling Machine 1,352.95,350.0,368.0,338.0,OK,2.95
MSR000000025,2026-05-11 18:03:12,ORD000001,ITEM005,EQ001,Filling Machine 1,352.21,350.0,368.0,338.0,OK,2.21
MSR000000026,2026-05-11 18:04:35,ORD000001,ITEM005,EQ001,Filling Machine 1,354.62,350.0,368.0,338.0,OK,4.62
MSR000000027,2026-05-11 18:04:46,ORD000001,ITEM005,EQ001,Filling Machine 1,345.95,350.0,368.0,338.0,OK,-4.05
MSR000000028,2026-05-11 18:07:39,ORD000001,ITEM005,EQ001,Filling Machine 1,348.78,350.0,368.0,338.0,OK,-1.22
